layer,mode,alpha,hallucination_rate_mean,hallucination_rate_std,calibrated_abstention_rate_mean,calibrated_abstention_rate_std,correct_answer_rate_mean,correct_answer_rate_std,unnecessary_abstention_rate_mean,unnecessary_abstention_rate_std,style_only_score_mean,style_only_score_std
-1,base,0.0,0.95,,0.0,,0.5667,,0.0167,,0.0174,
-1,prompt_only,0.0,0.4167,,0.1667,,0.1833,,0.2667,,0.0781,
11,random_a-0.5,-0.5,0.9333,,0.0,,0.5667,,0.0167,,0.0,
11,random_a-0.6,-0.6,0.9,,0.0,,0.55,,0.0167,,0.0,
11,random_a-0.7,-0.7,0.9,,0.0,,0.55,,0.0167,,0.0,
11,random_a-0.8,-0.8,0.8667,,0.0167,,0.5667,,0.0167,,0.019,
11,random_a-0.9,-0.9,0.8333,,0.05,,0.5667,,0.0167,,0.0198,
11,random_a-1.0,-1.0,0.7833,,0.0667,,0.55,,0.0167,,0.042,
11,random_a-1.1,-1.1,0.7833,,0.05,,0.5833,,0.0167,,0.042,
11,shuffled_a-0.5,-0.5,0.8167,,0.0333,,0.55,,0.0167,,0.0202,
11,shuffled_a-0.6,-0.6,0.7833,,0.05,,0.5167,,0.0167,,0.021,
11,shuffled_a-0.7,-0.7,0.7667,,0.0667,,0.5,,0.0167,,0.0215,
11,shuffled_a-0.8,-0.8,0.7333,,0.0667,,0.5167,,0.0167,,0.0224,
11,shuffled_a-0.9,-0.9,0.7167,,0.1167,,0.5167,,0.0167,,0.0229,
11,shuffled_a-1.0,-1.0,0.7,,0.1167,,0.5333,,0.0333,,0.0235,
11,shuffled_a-1.1,-1.1,0.6667,,0.1167,,0.55,,0.0333,,0.0246,
11,steering_a-0.5,-0.5,0.7167,,0.05,,0.4833,,0.0167,,0.0459,
11,steering_a-0.6,-0.6,0.7333,,0.0667,,0.45,,0.0333,,0.0448,
11,steering_a-0.7,-0.7,0.6833,,0.1333,,0.4667,,0.0333,,0.0481,
11,steering_a-0.8,-0.8,0.6167,,0.15,,0.5,,0.05,,0.0266,
11,steering_a-0.9,-0.9,0.5667,,0.15,,0.4667,,0.0833,,0.0578,
11,steering_a-1.0,-1.0,0.5667,,0.15,,0.5167,,0.1333,,0.0867,
11,steering_a-1.1,-1.1,0.5333,,0.15,,0.4833,,0.15,,0.092,
11,steering_a0.0,0.0,0.95,,0.0,,0.5667,,0.0167,,0.0174,
12,random_a-0.5,-0.5,0.8833,,0.0333,,0.5667,,0.0167,,0.0187,
12,random_a-0.6,-0.6,0.8667,,0.0333,,0.5833,,0.0167,,0.0,
12,random_a-0.7,-0.7,0.9,,0.0167,,0.5833,,0.0167,,0.0,
12,random_a-0.8,-0.8,0.9167,,0.0,,0.6,,0.0167,,0.018,
12,random_a-0.9,-0.9,0.95,,0.0,,0.6167,,0.0167,,0.0174,
12,random_a-1.0,-1.0,0.95,,0.0,,0.6333,,0.0167,,0.0,
12,random_a-1.1,-1.1,0.95,,0.0,,0.6667,,0.0167,,0.0,
12,shuffled_a-0.5,-0.5,0.8833,,0.0167,,0.55,,0.0167,,0.0187,
12,shuffled_a-0.6,-0.6,0.85,,0.0333,,0.5667,,0.0167,,0.0194,
12,shuffled_a-0.7,-0.7,0.8,,0.0667,,0.55,,0.0167,,0.0206,
12,shuffled_a-0.8,-0.8,0.8167,,0.0667,,0.55,,0.0167,,0.0202,
12,shuffled_a-0.9,-0.9,0.7833,,0.0667,,0.55,,0.0167,,0.021,
12,shuffled_a-1.0,-1.0,0.7833,,0.1,,0.5667,,0.0167,,0.063,
12,shuffled_a-1.1,-1.1,0.7667,,0.1,,0.5667,,0.0167,,0.0858,
12,steering_a-0.5,-0.5,0.75,,0.0833,,0.55,,0.0167,,0.0219,
12,steering_a-0.6,-0.6,0.8,,0.05,,0.55,,0.0333,,0.0,
12,steering_a-0.7,-0.7,0.75,,0.05,,0.4833,,0.0333,,0.0219,
12,steering_a-0.8,-0.8,0.7,,0.0667,,0.4833,,0.0333,,0.0235,
12,steering_a-0.9,-0.9,0.7,,0.0833,,0.4667,,0.05,,0.0235,
12,steering_a-1.0,-1.0,0.65,,0.0833,,0.4667,,0.0667,,0.0253,
12,steering_a-1.1,-1.1,0.5833,,0.1167,,0.5,,0.0833,,0.0562,
12,steering_a0.0,0.0,0.95,,0.0,,0.5667,,0.0167,,0.0174,
13,random_a-0.5,-0.5,0.9167,,0.0167,,0.5833,,0.0167,,0.018,
13,random_a-0.6,-0.6,0.95,,0.0,,0.6,,0.0,,0.0174,
13,random_a-0.7,-0.7,0.95,,0.0,,0.6,,0.0,,0.0174,
13,random_a-0.8,-0.8,0.95,,0.0,,0.5667,,0.0,,0.0174,
13,random_a-0.9,-0.9,0.9333,,0.0,,0.5833,,0.0,,0.0177,
13,random_a-1.0,-1.0,0.95,,0.0167,,0.5667,,0.0,,0.0174,
13,random_a-1.1,-1.1,0.95,,0.0167,,0.6,,0.0,,0.0174,
13,shuffled_a-0.5,-0.5,0.8333,,0.0,,0.5667,,0.0167,,0.0198,
13,shuffled_a-0.6,-0.6,0.7833,,0.0,,0.5667,,0.0167,,0.021,
13,shuffled_a-0.7,-0.7,0.7667,,0.0,,0.5833,,0.0167,,0.0,
13,shuffled_a-0.8,-0.8,0.8,,0.0167,,0.55,,0.0167,,0.0,
13,shuffled_a-0.9,-0.9,0.75,,0.0333,,0.5333,,0.0167,,0.0,
13,shuffled_a-1.0,-1.0,0.7,,0.05,,0.5333,,0.0167,,0.0,
13,shuffled_a-1.1,-1.1,0.6667,,0.0667,,0.5,,0.0167,,0.0493,
13,steering_a-0.5,-0.5,0.75,,0.0667,,0.5667,,0.0167,,0.0219,
13,steering_a-0.6,-0.6,0.6833,,0.0833,,0.5333,,0.0333,,0.024,
13,steering_a-0.7,-0.7,0.6333,,0.0667,,0.5333,,0.0333,,0.0259,
13,steering_a-0.8,-0.8,0.6,,0.0833,,0.5333,,0.05,,0.0273,
13,steering_a-0.9,-0.9,0.5667,,0.0833,,0.5333,,0.05,,0.0289,
13,steering_a-1.0,-1.0,0.5833,,0.0667,,0.4833,,0.05,,0.0562,
13,steering_a-1.1,-1.1,0.5667,,0.1,,0.4667,,0.0667,,0.0289,
13,steering_a0.0,0.0,0.95,,0.0,,0.5667,,0.0167,,0.0174,
