hallucination_rate,calibrated_abstention_rate,correct_answer_rate,unnecessary_abstention_rate,style_only_score,answerable_count,unanswerable_count,hallucination_count,calibrated_abstention_count,correct_count,unnecessary_abstention_count,avg_answerable_uncertainty,avg_unanswerable_uncertainty,seed,layer,mode,alpha,vector_type
0.8667,0.0667,0.6,0.0,0.0,30,30,26,2,18,0,0.0,0.0,0,-1,base,0.0,none
0.7333,0.0667,0.6,0.0,0.0448,30,30,22,2,18,0,0.0,0.0333,0,11,oracle_gate_a-1.0,-1.0,steering
0.7333,0.0667,0.6333,0.0,0.0448,30,30,22,2,19,0,0.0,0.0333,0,11,single_pass_hard_gate_a-1.0,-1.0,steering
1.0,0.0,0.6333,0.0,0.033,30,30,30,0,19,0,0.0,0.0333,0,11,random_single_pass_hard_gate_a-1.0,-1.0,random
0.7333,0.0667,0.6333,0.0,0.0,30,30,22,2,19,0,0.0,0.0,0,11,shuffled_single_pass_hard_gate_a-1.0,-1.0,shuffled
0.8667,0.0667,0.6,0.0,0.0,30,30,26,2,18,0,0.0,0.0,0,-1,base,0.0,none
0.6667,0.1,0.6,0.0,0.0493,30,30,20,3,18,0,0.0,0.0333,0,12,oracle_gate_a-1.0,-1.0,steering
0.6667,0.1,0.6,0.0,0.0493,30,30,20,3,18,0,0.0,0.0333,0,12,single_pass_hard_gate_a-1.0,-1.0,steering
0.9333,0.0333,0.6,0.0,0.0,30,30,28,1,18,0,0.0,0.0,0,12,random_single_pass_hard_gate_a-1.0,-1.0,random
0.8,0.0,0.6,0.0,0.0823,30,30,24,0,18,0,0.0,0.0667,0,12,shuffled_single_pass_hard_gate_a-1.0,-1.0,shuffled
0.8667,0.0667,0.6,0.0,0.0,30,30,26,2,18,0,0.0,0.0,0,-1,base,0.0,none
0.7,0.0667,0.6,0.0,0.0,30,30,21,2,18,0,0.0,0.0,0,13,oracle_gate_a-1.0,-1.0,steering
0.7,0.0667,0.6333,0.0,0.0,30,30,21,2,19,0,0.0,0.0,0,13,single_pass_hard_gate_a-1.0,-1.0,steering
0.9333,0.0333,0.6,0.0,0.0,30,30,28,1,18,0,0.0,0.0,0,13,random_single_pass_hard_gate_a-1.0,-1.0,random
0.7333,0.0333,0.6333,0.0,0.0,30,30,22,1,19,0,0.0,0.0,0,13,shuffled_single_pass_hard_gate_a-1.0,-1.0,shuffled
0.9667,0.0333,0.5,0.0,0.0,30,30,29,1,15,0,0.0,0.0,1,-1,base,0.0,none
0.6333,0.1667,0.5,0.0,0.0,30,30,19,5,15,0,0.0,0.0,1,11,oracle_gate_a-1.0,-1.0,steering
0.6333,0.1667,0.5,0.0333,0.0,30,30,19,5,15,1,0.0,0.0,1,11,single_pass_hard_gate_a-1.0,-1.0,steering
0.8333,0.0333,0.5,0.0,0.0,30,30,25,1,15,0,0.0,0.0,1,11,random_single_pass_hard_gate_a-1.0,-1.0,random
0.7333,0.1333,0.5,0.0,0.0,30,30,22,4,15,0,0.0,0.0,1,11,shuffled_single_pass_hard_gate_a-1.0,-1.0,shuffled
0.9667,0.0333,0.5,0.0,0.0,30,30,29,1,15,0,0.0,0.0,1,-1,base,0.0,none
0.5333,0.2,0.5,0.0,0.0,30,30,16,6,15,0,0.0,0.0,1,12,oracle_gate_a-1.0,-1.0,steering
0.5333,0.2,0.5,0.0,0.0,30,30,16,6,15,0,0.0,0.0,1,12,single_pass_hard_gate_a-1.0,-1.0,steering
0.9667,0.0333,0.5,0.0,0.0,30,30,29,1,15,0,0.0,0.0,1,12,random_single_pass_hard_gate_a-1.0,-1.0,random
0.7,0.1333,0.5,0.0,0.0469,30,30,21,4,15,0,0.0,0.0333,1,12,shuffled_single_pass_hard_gate_a-1.0,-1.0,shuffled
0.9667,0.0333,0.5,0.0,0.0,30,30,29,1,15,0,0.0,0.0,1,-1,base,0.0,none
0.5333,0.2333,0.5,0.0,0.0,30,30,16,7,15,0,0.0,0.0,1,13,oracle_gate_a-1.0,-1.0,steering
0.5333,0.2333,0.5,0.0,0.0,30,30,16,7,15,0,0.0,0.0,1,13,single_pass_hard_gate_a-1.0,-1.0,steering
0.9667,0.0,0.5,0.0,0.0,30,30,29,0,15,0,0.0,0.0,1,13,random_single_pass_hard_gate_a-1.0,-1.0,random
0.6,0.2,0.5,0.0,0.0546,30,30,18,6,15,0,0.0,0.0333,1,13,shuffled_single_pass_hard_gate_a-1.0,-1.0,shuffled
0.9,0.0333,0.6,0.0,0.0733,30,30,27,1,18,0,0.0667,0.0,2,-1,base,0.0,none
0.6667,0.1,0.6,0.0,0.0985,30,30,20,3,18,0,0.0667,0.0,2,11,oracle_gate_a-1.0,-1.0,steering
0.6667,0.1,0.6,0.0,0.0985,30,30,20,3,18,0,0.0667,0.0,2,11,single_pass_hard_gate_a-1.0,-1.0,steering
0.7667,0.0333,0.6,0.0,0.1288,30,30,23,1,18,0,0.0667,0.0333,2,11,random_single_pass_hard_gate_a-1.0,-1.0,random
0.6333,0.1667,0.6,0.0,0.1036,30,30,19,5,18,0,0.0667,0.0,2,11,shuffled_single_pass_hard_gate_a-1.0,-1.0,shuffled
0.9,0.0333,0.6,0.0,0.0733,30,30,27,1,18,0,0.0667,0.0,2,-1,base,0.0,none
0.5,0.1,0.6,0.0,0.1961,30,30,15,3,18,0,0.0667,0.0333,2,12,oracle_gate_a-1.0,-1.0,steering
0.5,0.1,0.6,0.0,0.1961,30,30,15,3,18,0,0.0667,0.0333,2,12,single_pass_hard_gate_a-1.0,-1.0,steering
0.9333,0.0,0.6,0.0,0.0707,30,30,28,0,18,0,0.0667,0.0,2,12,random_single_pass_hard_gate_a-1.0,-1.0,random
0.5,0.2,0.6,0.0,0.2614,30,30,15,6,18,0,0.0667,0.0667,2,12,shuffled_single_pass_hard_gate_a-1.0,-1.0,shuffled
0.9,0.0333,0.6,0.0,0.0733,30,30,27,1,18,0,0.0667,0.0,2,-1,base,0.0,none
0.5333,0.1333,0.6,0.0,0.1227,30,30,16,4,18,0,0.0667,0.0,2,13,oracle_gate_a-1.0,-1.0,steering
0.5333,0.1333,0.6,0.0,0.1227,30,30,16,4,18,0,0.0667,0.0,2,13,single_pass_hard_gate_a-1.0,-1.0,steering
0.8667,0.0333,0.6,0.0,0.076,30,30,26,1,18,0,0.0667,0.0,2,13,random_single_pass_hard_gate_a-1.0,-1.0,random
0.6333,0.1333,0.6,0.0,0.1036,30,30,19,4,18,0,0.0667,0.0,2,13,shuffled_single_pass_hard_gate_a-1.0,-1.0,shuffled
