pos,n,train_acc,cv_acc,auc,layer,is_context
0,30,0.5333333333333333,0.5333333333333333,0.5,6,True
1,30,0.5333333333333333,0.5333333333333333,0.5,6,True
2,30,0.5333333333333333,0.5333333333333333,0.5,6,True
3,30,0.5333333333333333,0.5333333333333333,0.5,6,True
4,30,0.5333333333333333,0.5333333333333333,0.5,6,True
5,30,0.5333333333333333,0.5333333333333333,0.5,6,True
6,30,0.5333333333333333,0.5333333333333333,0.5,6,True
7,30,0.5333333333333333,0.5333333333333333,0.5,6,True
8,30,0.5333333333333333,0.5333333333333333,0.5,6,True
9,30,0.5333333333333333,0.5333333333333333,0.5,6,True
10,30,0.5333333333333333,0.5333333333333333,0.5,6,True
11,30,0.5333333333333333,0.5333333333333333,0.5,6,True
12,30,0.5333333333333333,0.5333333333333333,0.5,6,True
13,30,0.5333333333333333,0.5333333333333333,0.5,6,True
14,30,0.5333333333333333,0.5333333333333333,0.5,6,True
15,30,0.5333333333333333,0.5333333333333333,0.5,6,True
16,30,0.9666666666666667,0.9666666666666667,0.9642857142857143,6,True
17,30,0.9666666666666667,0.9666666666666667,0.9888392857142857,6,True
18,30,0.9666666666666667,0.9666666666666667,0.9888392857142857,6,True
19,30,0.9666666666666667,0.9666666666666667,0.9888392857142857,6,True
20,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,6,True
21,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,6,True
22,30,0.9666666666666667,0.9333333333333332,0.9977678571428572,6,True
23,30,0.9666666666666667,0.9,0.9977678571428572,6,True
24,30,0.9666666666666667,0.9,0.9977678571428572,6,True
25,30,0.9666666666666667,0.9,0.9977678571428571,6,True
26,30,0.9666666666666667,0.8333333333333334,0.9977678571428572,6,True
27,30,0.9666666666666667,0.9333333333333332,0.9977678571428572,6,True
28,30,0.9666666666666667,0.9,0.9977678571428572,6,True
29,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,6,True
30,30,0.9666666666666667,0.9,0.9977678571428571,6,True
31,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,6,True
32,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,6,True
33,30,0.9666666666666667,0.9333333333333332,0.9977678571428572,6,True
34,30,0.9666666666666667,0.8666666666666667,0.9977678571428571,6,True
35,30,0.9666666666666667,0.8666666666666666,0.9977678571428571,6,True
36,30,1.0,0.9333333333333332,1.0,6,True
37,30,1.0,0.9333333333333332,1.0,6,True
38,30,1.0,0.9666666666666667,1.0,6,True
39,30,1.0,0.9333333333333332,1.0,6,True
40,30,1.0,0.9,1.0,6,False
41,30,1.0,0.9,1.0,6,False
42,30,1.0,0.8333333333333334,1.0,6,False
43,30,1.0,0.9,1.0,6,False
44,30,1.0,0.8666666666666667,1.0,6,False
45,30,1.0,0.8333333333333334,1.0,6,False
46,30,1.0,0.8666666666666667,1.0,6,False
47,30,1.0,0.8000000000000002,1.0,6,False
48,30,1.0,0.8333333333333334,1.0,6,False
49,30,1.0,0.7666666666666666,1.0,6,False
50,30,1.0,0.7666666666666666,1.0,6,False
51,30,1.0,0.8333333333333334,1.0,6,False
52,30,1.0,0.9333333333333332,1.0,6,False
53,30,1.0,0.9666666666666667,1.0,6,False
54,30,1.0,0.9333333333333332,1.0,6,False
55,30,1.0,0.9666666666666667,1.0,6,False
56,30,1.0,0.9333333333333332,1.0,6,False
57,30,1.0,0.9666666666666667,1.0,6,False
58,30,1.0,0.9666666666666667,1.0,6,False
59,30,1.0,0.8666666666666667,1.0,6,False
60,30,1.0,0.9333333333333332,1.0,6,False
61,30,1.0,0.8666666666666667,1.0,6,False
62,30,1.0,0.9333333333333332,1.0,6,False
63,30,1.0,0.9,1.0,6,False
64,30,0.9666666666666667,0.9,1.0,6,False
65,30,1.0,0.9,1.0,6,False
66,27,0.9629629629629629,0.9259259259259259,1.0,6,False
67,24,0.9583333333333334,0.7916666666666666,1.0,6,False
68,23,0.9565217391304348,0.875,1.0,6,False
0,30,0.5333333333333333,0.5333333333333333,0.5,8,True
1,30,0.5333333333333333,0.5333333333333333,0.5,8,True
2,30,0.5333333333333333,0.5333333333333333,0.5,8,True
3,30,0.5333333333333333,0.5333333333333333,0.5,8,True
4,30,0.5333333333333333,0.5333333333333333,0.5,8,True
5,30,0.5333333333333333,0.5333333333333333,0.5,8,True
6,30,0.5333333333333333,0.5333333333333333,0.5,8,True
7,30,0.5333333333333333,0.5333333333333333,0.5,8,True
8,30,0.5333333333333333,0.5333333333333333,0.5,8,True
9,30,0.5333333333333333,0.5333333333333333,0.5,8,True
10,30,0.5333333333333333,0.5333333333333333,0.5,8,True
11,30,0.5333333333333333,0.5333333333333333,0.5,8,True
12,30,0.5333333333333333,0.5333333333333333,0.5,8,True
13,30,0.5333333333333333,0.5333333333333333,0.5,8,True
14,30,0.5333333333333333,0.5333333333333333,0.5,8,True
15,30,0.5333333333333333,0.5333333333333333,0.5,8,True
16,30,0.9666666666666667,0.9666666666666667,0.9598214285714286,8,True
17,30,0.9666666666666667,0.9666666666666667,0.9888392857142857,8,True
18,30,0.9666666666666667,0.9666666666666667,0.9888392857142857,8,True
19,30,0.9666666666666667,0.9666666666666667,0.9888392857142857,8,True
20,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,8,True
21,30,0.9666666666666667,0.9333333333333332,0.9977678571428572,8,True
22,30,0.9666666666666667,0.9333333333333332,0.9977678571428572,8,True
23,30,0.9666666666666667,0.8666666666666667,0.9977678571428572,8,True
24,30,0.9666666666666667,0.9,0.9977678571428572,8,True
25,30,0.9666666666666667,0.9,0.9977678571428571,8,True
26,30,0.9666666666666667,0.8666666666666667,0.9977678571428572,8,True
27,30,0.9666666666666667,0.9333333333333332,0.9977678571428572,8,True
28,30,0.9666666666666667,0.9,0.9977678571428572,8,True
29,30,0.9666666666666667,0.9,0.9977678571428571,8,True
30,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,8,True
31,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,8,True
32,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,8,True
33,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,8,True
34,30,0.9666666666666667,0.8666666666666667,0.9977678571428571,8,True
35,30,0.9666666666666667,0.9,0.9977678571428571,8,True
36,30,1.0,0.9,1.0,8,True
37,30,1.0,0.9666666666666667,1.0,8,True
38,30,1.0,0.9666666666666667,1.0,8,True
39,30,1.0,0.9,1.0,8,True
40,30,1.0,0.8666666666666667,1.0,8,False
41,30,1.0,0.9,1.0,8,False
42,30,1.0,0.8333333333333334,1.0,8,False
43,30,1.0,0.9,1.0,8,False
44,30,1.0,0.8333333333333334,1.0,8,False
45,30,1.0,0.8666666666666667,1.0,8,False
46,30,1.0,0.9,1.0,8,False
47,30,1.0,0.8333333333333334,1.0,8,False
48,30,1.0,0.8666666666666667,1.0,8,False
49,30,1.0,0.8666666666666667,1.0,8,False
50,30,1.0,0.9333333333333332,1.0,8,False
51,30,1.0,0.9333333333333332,1.0,8,False
52,30,1.0,0.9333333333333332,1.0,8,False
53,30,1.0,0.9666666666666667,1.0,8,False
54,30,1.0,0.9333333333333332,1.0,8,False
55,30,1.0,0.9333333333333332,1.0,8,False
56,30,1.0,0.9333333333333332,1.0,8,False
57,30,1.0,0.9333333333333332,1.0,8,False
58,30,1.0,0.9666666666666667,1.0,8,False
59,30,0.9666666666666667,0.9,1.0,8,False
60,30,1.0,0.9666666666666667,1.0,8,False
61,30,1.0,0.7999999999999999,1.0,8,False
62,30,1.0,0.8666666666666667,1.0,8,False
63,30,1.0,0.8333333333333334,1.0,8,False
64,30,0.9666666666666667,0.9333333333333332,1.0,8,False
65,30,1.0,0.9333333333333332,1.0,8,False
66,27,0.9629629629629629,0.9259259259259259,1.0,8,False
67,24,0.9583333333333334,0.9166666666666666,1.0,8,False
68,23,0.9565217391304348,0.875,1.0,8,False
0,30,0.5333333333333333,0.5333333333333333,0.5,10,True
1,30,0.5333333333333333,0.5333333333333333,0.5,10,True
2,30,0.5333333333333333,0.5333333333333333,0.5,10,True
3,30,0.5333333333333333,0.5333333333333333,0.5,10,True
4,30,0.5333333333333333,0.5333333333333333,0.5,10,True
5,30,0.5333333333333333,0.5333333333333333,0.5,10,True
6,30,0.5333333333333333,0.5333333333333333,0.5,10,True
7,30,0.5333333333333333,0.5333333333333333,0.5,10,True
8,30,0.5333333333333333,0.5333333333333333,0.5,10,True
9,30,0.5333333333333333,0.5333333333333333,0.5,10,True
10,30,0.5333333333333333,0.5333333333333333,0.5,10,True
11,30,0.5333333333333333,0.5333333333333333,0.5,10,True
12,30,0.5333333333333333,0.5333333333333333,0.5,10,True
13,30,0.5333333333333333,0.5333333333333333,0.5,10,True
14,30,0.5333333333333333,0.5333333333333333,0.5,10,True
15,30,0.5333333333333333,0.5333333333333333,0.5,10,True
16,30,0.9666666666666667,0.9666666666666667,0.9642857142857143,10,True
17,30,0.9666666666666667,0.9666666666666667,0.9888392857142857,10,True
18,30,0.9666666666666667,0.9666666666666667,0.9888392857142857,10,True
19,30,0.9666666666666667,0.9666666666666667,0.9888392857142857,10,True
20,30,0.9666666666666667,0.9333333333333332,0.9977678571428572,10,True
21,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,10,True
22,30,0.9666666666666667,0.9333333333333332,0.9977678571428572,10,True
23,30,0.9666666666666667,0.9,0.9977678571428572,10,True
24,30,0.9666666666666667,0.9,0.9977678571428572,10,True
25,30,0.9666666666666667,0.9,0.9977678571428571,10,True
26,30,0.9666666666666667,0.8666666666666667,0.9977678571428572,10,True
27,30,0.9666666666666667,0.9,0.9977678571428572,10,True
28,30,0.9666666666666667,0.9,0.9977678571428571,10,True
29,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,10,True
30,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,10,True
31,30,0.9666666666666667,0.9,0.9977678571428571,10,True
32,30,0.9666666666666667,0.9333333333333332,0.9977678571428572,10,True
33,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,10,True
34,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,10,True
35,30,0.9666666666666667,0.9,0.9977678571428571,10,True
36,30,1.0,0.9666666666666667,1.0,10,True
37,30,1.0,0.9333333333333332,1.0,10,True
38,30,1.0,0.9333333333333332,1.0,10,True
39,30,1.0,0.9,1.0,10,True
40,30,1.0,0.8666666666666667,1.0,10,False
41,30,1.0,0.8333333333333334,1.0,10,False
42,30,1.0,0.8666666666666667,1.0,10,False
43,30,1.0,0.9,1.0,10,False
44,30,1.0,0.8333333333333334,1.0,10,False
45,30,1.0,0.8333333333333334,1.0,10,False
46,30,1.0,0.8666666666666667,1.0,10,False
47,30,1.0,0.8333333333333334,1.0,10,False
48,30,1.0,0.9,1.0,10,False
49,30,1.0,0.8666666666666667,1.0,10,False
50,30,1.0,0.9333333333333332,1.0,10,False
51,30,1.0,0.9,1.0,10,False
52,30,1.0,0.9333333333333332,1.0,10,False
53,30,1.0,0.9666666666666667,1.0,10,False
54,30,1.0,0.9666666666666667,1.0,10,False
55,30,1.0,0.9,1.0,10,False
56,30,1.0,0.9333333333333332,1.0,10,False
57,30,1.0,0.9666666666666667,1.0,10,False
58,30,1.0,0.9333333333333332,1.0,10,False
59,30,1.0,0.9,1.0,10,False
60,30,1.0,0.9666666666666667,1.0,10,False
61,30,1.0,0.8333333333333334,1.0,10,False
62,30,1.0,0.9333333333333332,1.0,10,False
63,30,1.0,0.8666666666666667,1.0,10,False
64,30,0.9666666666666667,0.9333333333333332,1.0,10,False
65,30,1.0,0.9666666666666667,1.0,10,False
66,27,0.9629629629629629,0.9259259259259259,1.0,10,False
67,24,0.9583333333333334,0.875,1.0,10,False
68,23,0.9565217391304348,0.875,1.0,10,False
0,30,0.5333333333333333,0.5333333333333333,0.5,12,True
1,30,0.5333333333333333,0.5333333333333333,0.5,12,True
2,30,0.5333333333333333,0.5333333333333333,0.5,12,True
3,30,0.5333333333333333,0.5333333333333333,0.5,12,True
4,30,0.5333333333333333,0.5333333333333333,0.5,12,True
5,30,0.5333333333333333,0.5333333333333333,0.5,12,True
6,30,0.5333333333333333,0.5333333333333333,0.5,12,True
7,30,0.5333333333333333,0.5333333333333333,0.5,12,True
8,30,0.5333333333333333,0.5333333333333333,0.5,12,True
9,30,0.5333333333333333,0.5333333333333333,0.5,12,True
10,30,0.5333333333333333,0.5333333333333333,0.5,12,True
11,30,0.5333333333333333,0.5333333333333333,0.5,12,True
12,30,0.5333333333333333,0.5333333333333333,0.5,12,True
13,30,0.5333333333333333,0.5333333333333333,0.5,12,True
14,30,0.5333333333333333,0.5333333333333333,0.5,12,True
15,30,0.5333333333333333,0.5333333333333333,0.5,12,True
16,30,0.9666666666666667,0.9666666666666667,0.96875,12,True
17,30,0.9666666666666667,0.9666666666666667,0.9888392857142857,12,True
18,30,0.9666666666666667,0.9666666666666667,0.9888392857142857,12,True
19,30,0.9666666666666667,0.9666666666666667,0.9888392857142857,12,True
20,30,0.9666666666666667,0.9333333333333332,0.9977678571428572,12,True
21,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,12,True
22,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,12,True
23,30,0.9666666666666667,0.9,0.9977678571428572,12,True
24,30,0.9666666666666667,0.9,0.9977678571428572,12,True
25,30,0.9666666666666667,0.8666666666666667,0.9977678571428571,12,True
26,30,0.9666666666666667,0.8666666666666667,0.9977678571428571,12,True
27,30,0.9666666666666667,0.9333333333333332,0.9977678571428572,12,True
28,30,0.9666666666666667,0.9,0.9977678571428571,12,True
29,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,12,True
30,30,0.9666666666666667,0.9333333333333332,0.9977678571428572,12,True
31,30,0.9666666666666667,0.9,0.9977678571428572,12,True
32,30,0.9666666666666667,0.9,0.9977678571428571,12,True
33,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,12,True
34,30,0.9666666666666667,0.9333333333333332,0.9977678571428572,12,True
35,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,12,True
36,30,1.0,0.9666666666666667,1.0,12,True
37,30,1.0,0.9666666666666667,1.0,12,True
38,30,1.0,0.9666666666666667,1.0,12,True
39,30,1.0,0.9333333333333332,1.0,12,True
40,30,1.0,0.8666666666666667,1.0,12,False
41,30,1.0,0.8333333333333334,1.0,12,False
42,30,1.0,0.9,1.0,12,False
43,30,1.0,0.8666666666666667,1.0,12,False
44,30,1.0,0.8666666666666667,1.0,12,False
45,30,1.0,0.8333333333333334,1.0,12,False
46,30,1.0,0.9,1.0,12,False
47,30,1.0,0.8333333333333334,1.0,12,False
48,30,1.0,0.7999999999999999,1.0,12,False
49,30,1.0,0.9333333333333332,1.0,12,False
50,30,1.0,0.9,1.0,12,False
51,30,1.0,0.9,1.0,12,False
52,30,1.0,0.9333333333333332,1.0,12,False
53,30,1.0,0.9666666666666667,1.0,12,False
54,30,1.0,0.9333333333333332,1.0,12,False
55,30,1.0,0.9,1.0,12,False
56,30,1.0,0.9333333333333332,1.0,12,False
57,30,1.0,0.9666666666666667,1.0,12,False
58,30,1.0,0.9666666666666667,1.0,12,False
59,30,1.0,0.9333333333333332,1.0,12,False
60,30,1.0,0.9666666666666667,1.0,12,False
61,30,1.0,0.8666666666666667,1.0,12,False
62,30,1.0,0.9666666666666667,1.0,12,False
63,30,1.0,0.8666666666666667,1.0,12,False
64,30,0.9666666666666667,0.9666666666666667,1.0,12,False
65,30,1.0,0.9,1.0,12,False
66,27,0.9629629629629629,0.9259259259259259,1.0,12,False
67,24,0.9583333333333334,0.9166666666666666,1.0,12,False
68,23,0.9565217391304348,0.875,1.0,12,False
0,30,0.5333333333333333,0.5333333333333333,0.5,14,True
1,30,0.5333333333333333,0.5333333333333333,0.5,14,True
2,30,0.5333333333333333,0.5333333333333333,0.5,14,True
3,30,0.5333333333333333,0.5333333333333333,0.5,14,True
4,30,0.5333333333333333,0.5333333333333333,0.5,14,True
5,30,0.5333333333333333,0.5333333333333333,0.5,14,True
6,30,0.5333333333333333,0.5333333333333333,0.5,14,True
7,30,0.5333333333333333,0.5333333333333333,0.5,14,True
8,30,0.5333333333333333,0.5333333333333333,0.5,14,True
9,30,0.5333333333333333,0.5333333333333333,0.5,14,True
10,30,0.5333333333333333,0.5333333333333333,0.5,14,True
11,30,0.5333333333333333,0.5333333333333333,0.5,14,True
12,30,0.5333333333333333,0.5333333333333333,0.5,14,True
13,30,0.5333333333333333,0.5333333333333333,0.5,14,True
14,30,0.5333333333333333,0.5333333333333333,0.5,14,True
15,30,0.5333333333333333,0.5333333333333333,0.5,14,True
16,30,0.9666666666666667,0.9666666666666667,0.9598214285714286,14,True
17,30,0.9666666666666667,0.9666666666666667,0.9888392857142857,14,True
18,30,0.9666666666666667,0.9666666666666667,0.9888392857142857,14,True
19,30,0.9666666666666667,0.9666666666666667,0.9888392857142857,14,True
20,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,14,True
21,30,0.9666666666666667,0.9333333333333332,0.9977678571428572,14,True
22,30,0.9666666666666667,0.9333333333333332,0.9977678571428572,14,True
23,30,0.9666666666666667,0.9,0.9977678571428571,14,True
24,30,0.9666666666666667,0.9,0.9977678571428572,14,True
25,30,0.9666666666666667,0.9,0.9977678571428571,14,True
26,30,0.9666666666666667,0.8666666666666667,0.9977678571428572,14,True
27,30,0.9666666666666667,0.9333333333333332,0.9977678571428572,14,True
28,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,14,True
29,30,0.9666666666666667,0.9,0.9977678571428572,14,True
30,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,14,True
31,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,14,True
32,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,14,True
33,30,0.9666666666666667,0.9333333333333332,0.9977678571428572,14,True
34,30,0.9666666666666667,0.9,0.9977678571428572,14,True
35,30,0.9666666666666667,0.9333333333333332,0.9977678571428571,14,True
36,30,1.0,0.9666666666666667,1.0,14,True
37,30,1.0,0.9666666666666667,1.0,14,True
38,30,1.0,0.9666666666666667,1.0,14,True
39,30,1.0,0.9333333333333332,1.0,14,True
40,30,1.0,0.9,1.0,14,False
41,30,1.0,0.8666666666666667,1.0,14,False
42,30,1.0,0.9,1.0,14,False
43,30,1.0,0.8666666666666667,1.0,14,False
44,30,1.0,0.8333333333333334,1.0,14,False
45,30,1.0,0.8666666666666667,1.0,14,False
46,30,1.0,0.9,1.0,14,False
47,30,1.0,0.8666666666666667,1.0,14,False
48,30,1.0,0.9,1.0,14,False
49,30,1.0,0.9,1.0,14,False
50,30,1.0,0.9333333333333332,1.0,14,False
51,30,1.0,0.9,1.0,14,False
52,30,1.0,0.9666666666666667,1.0,14,False
53,30,1.0,0.9666666666666667,1.0,14,False
54,30,1.0,0.9333333333333332,1.0,14,False
55,30,1.0,0.9333333333333332,1.0,14,False
56,30,1.0,0.9666666666666667,1.0,14,False
57,30,1.0,0.9666666666666667,1.0,14,False
58,30,1.0,0.9666666666666667,1.0,14,False
59,30,1.0,0.9666666666666667,1.0,14,False
60,30,1.0,0.9666666666666667,1.0,14,False
61,30,1.0,0.9333333333333332,1.0,14,False
62,30,1.0,0.9666666666666667,1.0,14,False
63,30,1.0,0.9333333333333332,1.0,14,False
64,30,0.9666666666666667,0.9666666666666667,1.0,14,False
65,30,1.0,0.9666666666666667,1.0,14,False
66,27,0.9629629629629629,0.9629629629629629,1.0,14,False
67,24,0.9583333333333334,0.875,1.0,14,False
68,23,1.0,0.875,1.0,14,False
